Column,Type,Unit,Description
v_e_wp_cons,float,kWh,Wind power electricity output consumed locally
v_e_wp_exp,float,kWh,Wind power electricity output exported to the grid (i.e. excess)
v_e_wp_pot,float,kWh,Total wind power potential (installed + additional potential); will be either profile type 'annual' or 'winter'.
v_e_wp_pot_annual,float,kWh,Total wind power potential (installed + additional potential) using 'annual' profile (balanced across the year)
v_e_wp_pot_annual_kWhpkW,float,kWh/kW,Wind power potential (installed + additional potential) per capacity using 'annual' profile (balanced across the year)
v_e_wp_pot_remain,float,kWh,Remaining additional wind power potential (excl. installed capacity)
v_e_wp_pot_winter,float,kWh,Total wind power potential (installed + additional potential) using 'winter' profile (geared towards winter production)
v_e_wp_pot_winter_kWhpkW,float,kWh/kW,Wind power potential (installed + additional potential) per capacity using 'winter' profile (geared towards winter production)
v_gas_agu,float,kWh,gas output anaerobic digestion upgrade
v_gas_aguh,float,kWh,gas output anaerobic digestion upgrade hydrogen
v_gas_hg,float,kWh,gas output anaerobic hydrothermal gasification
v_gas_wgu,float,kWh,gas output wood gasification upgrade
v_gas_wguh,float,kWh,gas output wood gasification upgrade hydrogen
v_h_aguc,float,kWh,heat output anaerobic digestion CHP
v_h_aguh,float,kWh,heat output anaerobic digestion upgrade hydrogen
v_h_bm,float,kWh,Biomass heat ouput
v_h_chpgt,float,kWh,Gas turbine combined heat and power: heat output
v_h_dh,float,kWh,District heating heat output
v_h_eh,float,kWh,Electric heater heat output
v_h_gb,float,kWh,Gas boiler heat output
v_h_hp,float,kWh,Heat pump heat output
v_h_hpcp,float,kWh,Heat pump (centralised plant) heat output
v_h_ob,float,kWh,Oil boiler heat output
v_h_other,float,kWh,Heat output from other sources (unknown)
v_h_solar,float,kWh,Solar thermal heat output
v_h_tes,float,kWh,Thermal energy storage extracted heat
v_h_tesdc,float,kWh,Thermal energy storage (decentralised) extracted heat
v_h_wb,float,kWh,Wood boiler heat output
v_h_wgu,float,kWh,heat output  wood gasification upgrade
v_h_wguc,float,kWh,heat output  wood gasification CHP
v_h_wguh,float,kWh,heat output  wood gasification upgrade hydrogen
v_hyd_hydp,float,kWh,hydrogen output hydrogen production
u_gas_gtcp,float,kWh,Gas turbine central plant input
u_gas_gtcp_kg,float,kg,Gas turbine central plant input
v_e_gtcp,float,kWh,Gas turbine central plant output: electricity
v_steam_gtcp,float,kWh,Gas turbine central plant output: steam
v_co2_gtcp,float,kg,Gas turbine central plant: CO2 emissions
u_steam_st,float,kWh,Steam turbine input
v_e_st,float,kWh,Steam turbine output: electricity
v_e_st_gtcp,float,kWh,Steam turbine output: electricity stemming from centralised gas turbine (subset of v_e_st)
v_e_st_wbcp,float,kWh,Steam turbine output: electricity stemming from centralised wood boiler (subset of v_e_st)
v_h_st,float,kWh,Steam turbine output: heat
v_h_st_gtcp,float,kWh,Steam turbine output: heat stemming from centralised gas turbine (subset of v_h_st)
v_h_st_wbcp,float,kWh,Steam turbine output: heat stemming from centralised wood boiler (subset of v_h_st)
v_co2_st,float,kg,Steam turbine: CO2 emissions
u_wd_wbcp,float,kWh,Wood boiler central plant input
u_wd_wbcp_kg,float,kg,Wood boiler central plant input
v_steam_wbcp,float,kWh,Wood boiler central plant output: steam
v_co2_wbcp,float,kg,Wood boiler central plant: CO2 emissions
u_msw_wte,float,kWh,Waste-to-energy plant input: municipal solid waste
u_msw_wte_kg,float,kg,Waste-to-energy plant input: municipal solid waste
v_e_wte,float,kWh,Waste-to-energy plant output: electricity
v_h_wte,float,kWh,Waste-to-energy plant output: heat
v_co2_wte,float,kg,Waste-to-energy plant: CO2 emissions
v_co2_tot,float,kg,Total CO2 emissions (generation + import)
